File_name	Strain
Anabaena_cylindrica_PCC_7122	Anabaena cylindrica PCC 7122
Anabaena_cylindrica_PCC_7122_v2	Anabaena cylindrica PCC 7122 v2
Anabaena_sp_4_3	Anabaena sp. 4–3
Anabaena_sp_90	Anabaena sp. 90
Anabaena_sp_AL09	Anabaena sp. AL09
Anabaena_sp_AL93	Anabaena sp. AL93
Anabaena_sp_ATCC_33047	Anabaena sp. ATCC 33047
Anabaena_sp_CRKS33	Anabaena sp. CRKS33
Anabaena_sp_LE011_02	Anabaena sp. LE011-02
Anabaena_sp_MDT14b	Anabaena sp. MDT14b
Anabaena_sp_PCC_7108	Anabaena sp. PCC 7108
Anabaena_sp_WA102	Anabaena sp. WA102
Anabaena_sp_WA113	Anabaena sp. WA113
Anabaena_sp_YBS01	Anabaena sp. YBS01
Anabaena_variabilis_NIES_23	Anabaena variabilis NIES-23
Anabaenopsis_circularis_NIES_21	Anabaenopsis circularis NIES-21
Aphanizomenon_flos_aquae_2012_KM1_D3	Aphanizomenon flos-aquae 2012/KM1/D3
Aphanizomenon_flos_aquae_LD13	Aphanizomenon flos-aquae LD13
Aphanizomenon_flos_aquae_MDT14a	Aphanizomenon flos-aquae MDT14a
Aphanizomenon_flos_aquae_NIES_81	Aphanizomenon flos-aquae NIES-81
Aphanizomenon_flos_aquae_WA102	Aphanizomenon flos-aquae WA102
Aulosira_laxa_NIES_50	Aulosira laxa NIES-50
Calothrix_brevissima_NIES_22	Calothix brevissima NIES-22
Calothrix_desertica_PCC_7102	Calothrix desertica PCC 7102
Calothrix_desertica_PCC_7102_v2	Calothrix desertica PCC 7102 v2
Calothrix_elsteri_CCALA_953	Calothrix elsteri CCALA 953
Calothrix_parasitica_NIES_267	Calothrix parasitica NIES-267
Calothrix_rhizosoleniae_SC01	Calothrix rhizosoleniae SC01
Calothrix_sp_336_3	Calothrix sp. 336-3
Calothrix_sp_HK_06_NIES_2101	Calothrix sp. NIES-2101 (HK-06)
Calothrix_sp_NIES_2098	Calothrix sp. NIES-2098
Calothrix_sp_NIES_2100	Calothrix sp. NIES-2100
Calothrix_sp_NIES_3974	Calothrix sp. NIES-3974
Calothrix_sp_NIES_4071	Calothrix sp. NIES-4071
Calothrix_sp_NIES_4105	Calothrix sp. NIES-4105
Calothrix_sp_PCC_6303	Calothrix sp. PCC 6303
Calothrix_sp_PCC_7103	Calothrix sp. PCC 7103
Calothrix_sp_PCC_7507	Calothrix sp. PCC 7507
Chlorogloeopsis_fritschii_PCC_6912	Chlorogloeopsis fritschii PCC 6912
Chlorogloeopsis_fritschii_PCC_6912_v2	Chlorogloeopsis fritschii PCC 6912 v2
Chlorogloeopsis_fritschii_PCC_9212	Chlorogloeopsis fritschii PCC 9212
Chroococcidiopsis_thermalis_PCC_7203	Chroococcidiopsis thermalis PCC 7203
Cuspidothrix_issatschenkoi_CHARLIE_1	Cuspidothrix issatchenkoi CHARLIE-1
Cylindrospermopsis_raciborskii_C03	Cylindrospermopsis raciborskii C03
Cylindrospermopsis_raciborskii_C04	Cylindrospermopsis raciborskii C04
Cylindrospermopsis_raciborskii_C07	Cylindrospermopsis raciborskii C07
Cylindrospermopsis_raciborskii_CENA302	Cylindrospermopsis raciborskii CENA302
Cylindrospermopsis_raciborskii_CENA303	Cylindrospermopsis raciborskii CENA303
Cylindrospermopsis_raciborskii_Cr2010	Cylindrospermopsis raciborskii Cr2010
Cylindrospermopsis_raciborskii_CS_505	Cylindrospermopsis raciborskii CS-505
Cylindrospermopsis_raciborskii_CS_505_v2	Cylindrospermopsis raciborskii CS-505 v2
Cylindrospermopsis_raciborskii_CS_508	Cylindrospermopsis raciborskii CS-508
Cylindrospermopsis_raciborskii_CYLP	Cylindrospermopsis raciborskii CYLP
Cylindrospermopsis_raciborskii_CYRF	Cylindrospermopsis raciborskii CYRF
Cylindrospermopsis_raciborskii_GIHE_2018	Cylindrospermopsis raciborskii GIHE 2018
